Total Pembeli (Pesanan Dibuat),Produk (Pesanan Dibuat),Total Penjualan (Pesanan Dibuat) (IDR),Tingkat Konversi (Pesanan yang Dibuat),Produk (Pesanan Siap Dikirim),Cluster
26,146,201122.0,0.1805999999999999,138,2
41,140,211288.0,0.1639999999999999,129,2
18,123,118412.0,0.1364,123,2
11,120,256389.0,0.0542,110,2
58,97,1315618.0,0.0762999999999999,90,2
30,93,1084195.0,0.0668,80,2
35,87,2529403.0,0.1429,67,2
41,86,1375758.0,0.0599,84,2
31,82,718359.0,0.0670999999999999,81,2
67,73,2119834.0,0.0412999999999999,72,2
9,71,781124.0,0.0242,50,2
26,70,237009.0,0.1898,70,2
60,69,1690003.0,0.0642,68,2
34,63,1683331.0,0.104,61,2
54,61,6321962.0,0.0646,58,1
22,61,430273.0,0.1117,61,2
9,60,156237.0,0.0616,58,2
23,60,50664.0,0.0895,59,2
45,60,1758068.0,0.0823,56,2
46,60,1999391.0,0.0501999999999999,55,2
39,56,2154910.0,0.0494,54,2
21,50,332551.0,0.1313,50,2
12,49,348369.0,0.0538,46,2
27,49,92265.0,0.0746,48,2
40,49,1918644.0,0.0569,47,2
42,48,502655.0,0.1214,45,2
16,46,341466.0,0.1455,46,2
29,46,1108219.0,0.0436,41,2
23,46,290566.0,0.2447,41,2
26,40,158878.0,0.1405,40,2
19,38,515153.0,0.2021,36,2
22,38,1178569.0,0.0742999999999999,37,2
17,36,237336.0,0.1328,33,2
23,35,815466.0,0.0571,28,2
17,34,531119.0,0.0455,34,2
21,32,1124315.0,0.1066,32,2
30,32,206792.0,0.1705,32,2
24,31,416839.0,0.092,31,2
22,31,333033.0,0.1027999999999999,30,2
4,31,36026.0,0.1667,31,0
27,30,3204328.0,0.0960999999999999,29,2
9,30,73725.0,0.0186,30,0
22,28,346995.0,0.037,27,0
5,27,213648.0,0.0265,27,0
15,26,161617.0,0.12,26,0
7,25,332714.0,0.0389,23,0
22,25,1016921.0,0.035,25,2
8,23,195693.0,0.0975999999999999,23,0
16,23,48021.0,0.2254,23,2
17,23,297887.0,0.1417,22,2
18,22,52433.0,0.1192,20,0
12,22,177605.0,0.1188,22,0
9,22,175961.0,0.0352,17,0
12,21,141249.0,0.15,20,0
9,21,361854.0,0.0423,21,0
13,21,381805.0,0.0504,20,0
9,19,59728.0,0.1216,18,0
15,18,94657.0,0.122,17,0
17,18,441905.0,0.1466,18,0
5,18,238684.0,0.061,18,0
7,17,77605.0,0.0921,17,0
14,17,90806.0,0.0986,16,0
17,17,78992.0,0.0776,15,0
12,17,775227.0,0.0542999999999999,14,0
10,17,452728.0,0.0295,16,0
9,17,70997.0,0.1286,15,0
11,17,47419.0,0.0902,15,0
10,17,23691.0,0.1887,15,0
16,17,768245.0,0.1081,17,0
13,15,439317.0,0.0699,13,0
8,15,337878.0,0.0487999999999999,14,0
12,15,813897.0,0.0374,13,0
6,15,37403.0,0.0588,14,0
8,15,104554.0,0.036,14,0
9,14,191577.0,0.12,13,0
8,14,238703.0,0.0237,14,0
5,14,169097.0,0.0294,14,0
6,14,110091.0,0.1033999999999999,14,0
9,13,176507.0,0.0523,13,0
11,13,639674.0,0.0175,12,0
9,12,173546.0,0.0882,12,0
9,12,169425.0,0.0415,12,0
4,12,80931.0,0.0237,11,0
9,11,2382.0,0.1607,11,0
5,11,116054.0,0.016,11,0
4,11,219032.0,0.0237,9,0
10,11,360732.0,0.0461,10,0
7,10,79792.0,0.1,10,0
8,10,227449.0,0.0816,10,0
6,10,49915.0,0.1176,10,0
9,10,809924.0,0.0495,10,0
9,10,86194.0,0.0818,10,0
8,10,83764.0,0.1,10,0
8,10,451952.0,0.02,9,0
8,10,378858.0,0.1481,10,0
6,9,36353.0,0.0844999999999999,9,0
8,9,18668.0,0.25,9,0
8,9,78263.0,0.1176,9,0
4,9,69649.0,0.0615,9,0
5,9,211458.0,0.05,9,0
6,8,11858.0,0.1071,8,0
7,8,219151.0,0.0116999999999999,7,0
8,8,108181.0,0.069,7,0
7,8,184418.0,0.0583,7,0
8,8,232651.0,0.0951999999999999,8,0
4,8,128697.0,0.0283999999999999,8,0
5,8,578321.0,0.061,8,0
8,8,268809.0,0.0615,8,0
7,8,130233.0,0.0909,8,0
3,7,26594.0,0.0576999999999999,7,0
5,7,289243.0,0.0308999999999999,7,0
4,7,79014.0,0.0231,7,0
4,7,329334.0,0.0678,6,0
2,7,94334.0,0.0104,4,0
5,7,240979.0,0.0567999999999999,7,0
5,7,12695.0,0.2,6,0
5,7,558338.0,0.0298,7,0
5,7,58601.0,0.1724,6,0
6,7,74982.0,0.1765,7,0
5,6,219513.0,0.0342,6,0
6,6,103003.0,0.1033999999999999,6,0
4,6,208321.0,0.0506,6,0
6,6,30976.0,0.2857,6,0
5,6,22392.0,0.0794,5,0
4,6,140149.0,0.0851,6,0
4,6,97879.0,0.1538,6,0
5,6,119506.0,0.1163,5,0
6,6,225991.0,0.0487999999999999,6,0
6,6,110834.0,0.0844999999999999,6,0
4,6,68718.0,0.0655999999999999,4,0
5,6,416266.0,0.0299,6,0
4,5,297207.0,0.0713999999999999,5,0
5,5,230866.0,0.0435,5,0
5,5,45662.0,0.1163,5,0
4,5,19213.0,0.0471,5,0
3,5,70249.0,0.0462,4,0
3,5,38696.0,0.0566,5,0
4,5,249458.0,0.0975999999999999,4,0
4,5,28216.0,0.0421,5,0
2,5,12729.0,0.0408,5,0
3,4,275139.0,0.0171,3,0
4,4,39953.0,0.0588,4,0
4,4,136697.0,0.0727,4,0
3,4,2824.0,0.0326,2,0
2,4,80432.0,0.0103,4,0
4,4,31166.0,0.1211999999999999,4,0
2,4,6648.0,0.0571,4,0
2,4,314.0,0.0605999999999999,4,0
3,4,2319.0,0.375,3,0
1,4,28036.0,0.0222,4,0
3,4,141.0,0.25,4,0
3,4,12589.0,0.0882,4,0
3,3,61491.0,0.1429,3,0
3,3,1757.0,0.2307999999999999,3,0
3,3,111351.0,0.0167,3,0
2,3,82863.0,0.0299,3,0
2,3,29484.0,0.0645,2,0
3,3,209932.0,0.0103,3,0
2,3,11637.0,0.0108,3,0
2,3,41733.0,0.087,3,0
1,3,237115.0,0.04,3,0
3,3,57441.0,0.0169,3,0
3,3,155213.0,0.0286,2,0
2,2,56801.0,0.0426,2,0
2,2,55541.0,0.0096,2,0
2,2,74019.0,0.0241,2,0
1,2,6288.0,0.0167,2,0
2,2,10434.0,0.0392,2,0
2,2,15912.0,0.0455,2,0
1,2,86623.0,0.0064,2,0
