slang,formal,In-dictionary,context,category1,,
woww,wow,1,wow,elongasi,,
"aminn,amin,1,""Selamat ulang tahun kakak tulus semoga panjang umur kakak,sehat selalu juga,murah rezeki ya kakak dan jangan sombong kalo sukses di karirnya aminn @tulusm"",elongasi,0,0;;",,,,,,
met,selamat,1,Met hari netaas kak!? Wish you all the best @tulusm,abreviasi,,
netaas,menetas,1,Met hari netaas kak!? Wish you all the best @tulusm,afiksasi,,
keberpa,keberapa,0,Birthday yg keberpa kak?,abreviasi,,
eeeehhhh,eh,1,Eh ada @ghessawarsana . Eeeehhhh,elongasi,,
kata2nyaaa,kata-katanya,0,Kata2nyaaa ?,reduplikasi,,
hallo,halo,1,Hallo kakak tulus,elongasi,,
kaka,kakak,1,Ngefans banget sama kaka? sukses selalu ka? @tulusm,zeroisasi,,
ka,kak,1,Ngefans banget sama kaka? sukses selalu ka? @tulusm,zeroisasi,,
daah,dah,1,Senyumnya bikin aku meleleh daah?? @tulusm,elongasi,,
"aaaaahhhh,ah,1,""Aaaaahhhh @tulusm ,aku suka banget sama pria ini yaa Allah....??"",elongasi,0,0;;",,,,,,
"yaa,ya,1,""Aaaaahhhh @tulusm ,aku suka banget sama pria ini yaa Allah....??"",elongasi,0,0;;",,,,,,
"smga,semoga,1,""Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin."",abreviasi,0,0;;",,,,,,
"slalu,selalu,1,""Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin."",zeroisasi,0,0;;",,,,,,
"amiin,amin,1,""Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin."",elongasi,0,0;;",,,,,,
kk,kakak,1,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,abreviasi,,
trus,terus,1,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,zeroisasi,,
kk,kakak,1,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,abreviasi,,
sii,sih,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,zeroisasi,,
nyenengin,menyenangkan,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,afiksasi,,
bgt,banget,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,,
gemess,gemas,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,modifikasi vokal,,
akuuu,aku,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,elongasi,,
jgn,jangan,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,,
yaa,ya,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,elongasi,,
udah,sudah,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,zeroisasi,,
gitu,begitu,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,abreviasi,,
aja,saja,1,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,zeroisasi,,
